Cases,medianIncome,youthUnemployment2013,unemployment2013,unemploymentChange,reportedCrime,populationChange,hasEducation,asylumCosts,urbanDegree,foreignBorn,reportedCrimeVandalism,youngUnskilled,population,populationShare65plus,refugees
225,0,182238,14.0,8.5,-0.9,846,0.6,24.9,910,64.4,12.3,11.1,12.6,12891,23.7,12.3
226,0,174332,8.8,5.4,-2.2,691,-5.5,24.2,1100,45.2,12.0,8.8,10.1,12013,27.4,13.6
227,0,180588,12.5,10.2,1.8,596,-2.8,26.8,930,53.1,9.7,7.1,11.0,6879,26.7,27.0
228,0,205109,8.1,4.5,-1.1,520,-1.6,23.6,958,70.0,16.0,8.1,11.6,11531,23.4,21.5
229,0,187530,10.8,7.6,0.0,945,0.7,27.6,233,84.2,13.3,8.9,9.3,18197,24.0,20.2
230,0,197888,13.2,8.4,0.1,857,3.1,29.7,591,81.6,18.8,10.5,11.5,42837,21.0,4.4
231,2,195484,14.4,13.1,0.9,1138,3.8,36.1,362,90.6,23.1,13.5,7.5,56573,18.4,35.6
232,0,233264,6.4,5.2,0.1,668,2.8,33.0,365,82.2,14.0,12.5,14.1,11680,21.9,9.5
233,0,239204,5.3,4.4,0.7,942,4.6,39.9,685,99.1,18.7,26.0,10.1,44281,16.6,5.5
234,1,272947,2.1,2.7,-0.2,587,6.5,59.8,11,99.6,19.5,25.6,5.3,66292,19.1,3.2
235,0,176749,12.1,9.0,-2.0,845,-2.9,24.9,864,57.6,10.9,9.2,12.0,8992,24.2,13.5
236,2,197137,10.7,7.6,-1.4,879,3.6,35.7,502,76.7,16.2,13.6,9.0,53025,20.8,18.6
237,1,200439,6.5,5.1,-1.5,629,2.2,29.3,228,66.6,12.4,8.7,10.1,23211,22.7,20.8
238,0,203009,6.5,5.7,-1.2,788,5.0,57.1,454,88.4,12.8,7.4,5.3,118349,15.7,8.7
239,0,222258,5.8,6.2,0.3,1048,8.9,35.2,392,90.2,28.7,26.9,13.3,24703,16.0,8.9
240,1,221707,5.1,5.3,0.2,1296,8.4,35.9,82,97.7,32.0,18.5,11.7,41449,16.5,19.5
241,7,209707,3.7,4.6,-0.6,904,7.6,58.3,592,87.3,22.1,13.5,5.2,205199,16.0,11.3
242,0,193623,13.2,9.8,2.5,603,-0.6,22.8,1993,72.1,21.4,5.4,14.6,9288,24.0,46.8
243,0,196775,9.0,6.2,-0.8,474,-1.2,35.4,2148,75.9,8.9,8.8,11.9,7383,29.8,18.5
244,0,208130,10.1,6.8,-1.2,363,1.8,27.3,353,74.7,18.9,6.8,10.3,13209,19.9,20.3
245,0,176586,9.5,7.9,0.1,633,-3.4,25.0,1712,58.3,8.3,6.6,14.2,7585,29.1,25.6
246,0,248185,2.8,2.6,-0.4,851,9.2,41.8,473,82.3,15.8,14.8,9.0,31616,14.9,7.488
247,0,171732,8.2,7.1,-1.6,431,-2.7,20.5,240,60.5,6.9,7.3,12.1,6730,26.2,5.4
248,0,191358,9.7,6.5,-0.6,641,-1.6,23.6,603,53.6,9.3,9.3,12.0,15609,23.0,14.6
249,1,209593,5.9,4.9,-1.0,621,5.8,36.0,178,72.5,12.0,9.8,7.2,59936,21.9,4.9
250,0,257450,2.1,2.4,-0.5,733,4.1,53.0,581,85.9,12.7,6.8,7.1,11188,18.1,5.0
251,0,247377,5.2,4.3,0.1,402,2.9,51.0,57,90.5,9.3,8.1,5.7,33807,21.9,1.2
252,1,198771,10.1,6.2,-0.1,496,0.3,26.9,713,75.2,13.9,10.0,7.7,26419,22.9,19.8
253,0,173280,15.2,11.2,0.4,595,-4.6,24.8,2622,51.3,7.6,7.2,8.4,6887,23.9,42.2
254,0,192042,10.8,7.2,-1.0,556,-1.7,24.7,1641,72.6,9.8,9.6,9.1,15287,24.0,25.5
255,0,181236,8.9,6.5,-1.0,468,-4.8,27.8,1971,59.9,8.6,5.7,8.7,5344,27.2,17.4
256,0,186374,13.8,10.4,0.9,1234,-1.8,22.2,2271,66.0,12.0,9.9,14.7,8835,24.9,55.8
257,0,196185,11.0,7.1,-0.8,811,1.0,35.0,126,79.5,13.3,12.5,11.4,37369,22.0,26.0
258,0,195999,13.2,9.4,-0.1,641,2.7,35.0,0,67.4,6.7,5.9,8.5,8583,20.5,14.4
259,0,244117,14.7,7.2,0.6,832,6.4,39.9,688,75.7,13.3,11.7,10.4,39784,15.6,17.9
260,0,210609,3.7,3.6,-0.3,700,1.0,29.2,553,78.2,23.0,9.2,9.8,33155,20.6,8.7
261,0,186539,9.3,6.5,-1.4,1015,-1.3,31.3,472,80.5,10.5,9.1,8.8,35867,26.5,14.6
262,0,209520,13.5,9.2,-0.1,1126,5.5,42.6,301,93.3,23.1,21.7,11.8,142131,19.3,15.7
263,1,206417,10.0,8.4,0.0,944,5.9,46.3,498,86.1,20.3,12.2,9.5,85822,18.2,20.9
264,1,201793,8.7,8.0,0.1,831,0.8,27.5,333,49.1,11.7,9.6,5.9,11065,19.4,33.8
265,0,188318,7.8,4.4,-0.7,194,-2.9,28.8,1671,43.2,9.7,5.5,6.0,3617,27.4,22.5
266,0,201215,12.8,6.9,0.3,744,2.7,37.2,435,81.5,10.3,12.7,6.8,28623,25.6,7.1
267,1,208448,15.4,10.3,-1.6,476,2.3,32.9,638,70.4,19.9,9.4,10.2,15759,21.0,20.4
268,0,174230,13.1,9.9,-1.7,747,-2.6,21.6,2644,69.8,7.3,10.0,12.2,7096,26.7,17.2
269,0,188889,5.3,4.6,-1.1,1084,0.8,25.7,1810,88.6,13.5,9.6,7.2,9132,23.0,24.1
270,0,182826,5.5,5.3,-1.9,575,-3.5,22.8,1960,72.8,8.8,5.4,10.2,8168,25.1,11.2
271,0,209246,10.9,11.2,-0.7,660,2.6,36.8,808,81.4,12.9,9.9,12.1,39866,22.9,38.8
272,0,175831,9.2,8.9,-0.7,744,-2.5,28.6,1540,79.0,12.7,9.5,15.2,12229,26.2,18.7
273,0,182177,10.5,7.6,-1.7,765,-7.5,23.2,1597,60.1,7.4,6.0,9.7,9548,26.6,17.0
274,3,189134,10.4,6.3,0.1,950,1.6,35.4,2233,49.3,8.7,13.2,8.5,10420,17.8,20.0
275,0,171318,12.1,8.1,-0.7,512,0.0,19.3,214,44.5,22.7,7.4,10.6,9953,23.3,10.3
276,0,167207,15.5,10.6,1.3,1252,-9.6,27.7,15446,66.2,11.3,11.0,11.7,2875,30.7,24.1
277,0,190103,10.6,8.8,-2.1,1159,2.7,22.3,453,91.9,26.7,18.2,11.5,14927,17.8,26.7
278,0,190823,9.4,6.4,-1.1,375,-0.7,26.2,703,76.7,6.7,7.1,8.2,11460,24.4,5.6
279,1,224409,5.4,3.5,-1.1,318,2.6,39.8,804,97.3,5.3,6.4,8.7,12574,22.2,1.0
280,0,180640,9.0,7.8,-1.4,560,-3.3,24.3,2281,55.1,9.7,9.5,14.1,5174,25.8,32.7
281,7,200347,8.5,7.8,-0.8,1149,6.3,44.7,461,88.3,20.0,16.4,7.2,140599,17.7,24.5
282,0,183541,9.0,6.8,-0.2,974,0.6,24.0,447,70.0,16.9,12.2,14.0,9653,23.8,19.2
283,0,198264,12.0,8.7,-1.6,593,-0.7,35.1,532,73.3,8.3,8.3,6.0,54986,23.4,16.2
284,1,196228,10.3,7.0,-2.1,1106,1.8,43.0,798,85.1,8.7,11.8,7.0,59956,20.3,16.3
285,0,241201,4.2,3.5,-0.3,773,4.6,40.4,283,86.8,16.3,13.2,9.2,40495,17.6,5.6
286,0,202320,7.0,4.5,-0.1,773,-0.4,25.3,554,66.7,8.7,10.4,10.3,21352,24.4,9.4
287,0,186964,12.9,9.8,0.0,1074,0.2,23.1,639,76.9,12.9,8.9,14.5,13687,22.9,21.8
288,0,172724,15.6,11.1,-4.3,582,-7.5,25.6,4662,46.4,10.8,8.9,13.1,3436,32.3,45.6
289,0,175549,11.8,10.9,-1.7,531,-5.3,30.8,5456,52.7,26.8,9.2,9.0,4709,28.7,45.7
