Municipality,Cases,Population,Year,code
Mölndal,0,56743,2001,1481
Mönsterås,0,13240,2001,861
Mörbylånga,0,13410,2001,840
Nacka,0,75741,2001,182
Nora,0,10456,2001,1884
Norberg,0,5928,2001,1962
Nordanstig,0,10097,2001,2132
Nordmaling,0,7660,2001,2401
Norrköping,5,122896,2001,581
Norrtälje,0,53286,2001,188
Norsjö,0,4642,2001,2417
Nybro,1,19782,2001,881
Nykvarn,0,8090,2001,140
Nyköping,1,49273,2001,480
Nynäshamn,0,24332,2001,192
Nässjö,1,29360,2001,682
Ockelbo,1,6137,2001,2101
Olofström,0,13803,2001,1060
Orsa,0,6979,2001,2034
Orust,0,15087,2001,1421
Osby,0,12735,2001,1273
Oskarshamn,0,26213,2001,882
Ovanåker,0,12333,2001,2121
Oxelösund,0,10983,2001,481
Pajala,0,7319,2001,2521
Partille,2,33142,2001,1402
Perstorp,1,6697,2001,1275
Piteå,0,40451,2001,2581
Ragunda,0,6148,2001,2303
Robertsfors,0,7274,2001,2409
Ronneby,0,28574,2001,1081
Rättvik,0,10856,2001,2031
Sala,0,21535,2001,1981
Salem,0,13839,2001,128
Sandviken,1,36805,2001,2181
Sigtuna,0,35518,2001,191
Simrishamn,0,19381,2001,1291
Sjöbo,0,16781,2001,1265
Skara,0,18324,2001,1495
Skellefteå,1,72035,2001,2482
Skinnskatteberg,0,4837,2001,1904
Skurup,0,13873,2001,1264
Skövde,1,49083,2001,1496
Smedjebacken,1,11357,2001,2061
Sollefteå,1,21624,2001,2283
Sollentuna,1,58266,2001,163
Solna,2,56953,2001,184
Sorsele,0,3132,2001,2422
Sotenäs,0,9584,2001,1427
Staffanstorp,0,19967,2001,1230
Stenungsund,0,21175,2001,1415
Stockholm,6,754948,2001,180
Storfors,0,4643,2001,1760
Storuman,0,6788,2001,2421
Strängnäs,3,29766,2001,486
Strömstad,0,11221,2001,1486
Strömsund,0,13643,2001,2313
Sundbyberg,0,33967,2001,183
Sundsvall,1,93125,2001,2281
Sunne,0,13551,2001,1766
Surahammar,0,10246,2001,1907
Svalöv,1,12553,2001,1214
Svedala,0,17938,2001,1263
Svenljunga,0,10536,2001,1465
Säffle,0,16428,2001,1785
Säter,0,11157,2001,2082
Sävsjö,0,10986,2001,684
Söderhamn,0,27464,2001,2182
Söderköping,1,13932,2001,582
Södertälje,5,78794,2001,181
Sölvesborg,0,16396,2001,1083
Tanum,0,12116,2001,1435
Tibro,0,10627,2001,1472
Tidaholm,0,12620,2001,1498
Tierp,0,19891,2001,360
Timrå,0,17790,2001,2262
Tingsryd,0,13258,2001,763
Tjörn,0,14797,2001,1419
Tomelilla,0,12432,2001,1270
Torsby,0,13552,2001,1737
Torsås,0,7361,2001,834
Tranemo,0,12016,2001,1452
Tranås,1,17644,2001,687
Trelleborg,1,38576,2001,1287
Trollhättan,1,52823,2001,1488
Trosa,1,10357,2001,488
Tyresö,0,39434,2001,138
Täby,1,60229,2001,160
Töreboda,0,9490,2001,1473
Uddevalla,0,49255,2001,1485
Ulricehamn,0,22257,2001,1491
Umeå,3,105006,2001,2480
Upplands-Bro,0,21076,2001,139
Upplands Väsby,2,37524,2001,114
Uppsala,1,191110,2001,380
Uppvidinge,1,9686,2001,760
Vadstena,0,7628,2001,584
Vaggeryd,0,12655,2001,665
Valdemarsvik,0,8224,2001,563
Vallentuna,1,25643,2001,115
Vansbro,0,7219,2001,2021
Vara,0,16050,2001,1470
Varberg,0,53072,2001,1383
Vaxholm,0,9470,2001,187
Vellinge,0,30782,2001,1233
Vetlanda,0,26522,2001,685
Vilhelmina,0,7730,2001,2462
Vimmerby,0,15644,2001,884
Vindeln,0,6039,2001,2404
Vingåker,0,9156,2001,428
Vårgårda,0,10677,2001,1442
Vänersborg,0,36795,2001,1487
Vännäs,0,8449,2001,2460
Värmdö,0,32096,2001,120
Värnamo,0,32275,2001,683
Västervik,1,36956,2001,883
Västerås,3,127799,2001,1980
Växjö,7,74082,2001,780
Ydre,0,4048,2001,512
Ystad,0,26235,2001,1286
Åmål,0,12770,2001,1492
Ånge,0,10997,2001,2260
Åre,0,9607,2001,2321
Årjäng,0,9803,2001,1765
Åsele,0,3563,2001,2463
Åstorp,1,12930,2001,1277
Åtvidaberg,0,11894,2001,561
Älmhult,0,15442,2001,765
Älvdalen,0,7652,2001,2039
Älvkarleby,0,8955,2001,319
Älvsbyn,0,8892,2001,2560
Ängelholm,1,37505,2001,1292
Öckerö,1,11877,2001,1407
Ödeshög,0,5621,2001,509
Örebro,2,124873,2001,1880
Örkelljunga,0,9414,2001,1257
Örnsköldsvik,1,55364,2001,2284
Östersund,0,58361,2001,2380
Österåker,1,35108,2001,117
Östhammar,0,21842,2001,382
Östra Göinge,0,14108,2001,1256
Överkalix,0,4118,2001,2513
Övertorneå,0,5484,2001,2518
Ale,0,25835,2002,1440
Alingsås,0,35327,2002,1489
Alvesta,0,18930,2002,764
Aneby,1,6631,2002,604
Arboga,0,13574,2002,1984
Arjeplog,0,3291,2002,2506
Arvidsjaur,0,7017,2002,2505
Arvika,0,26262,2002,1784
Askersund,0,11449,2002,1882
Avesta,0,22296,2002,2084
Bengtsfors,0,10516,2002,1460
Berg,0,7949,2002,2326
Bjurholm,0,2608,2002,2403
Bjuv,2,13674,2002,1260
Boden,0,28268,2002,2582
Bollebygd,0,7831,2002,1443
Bollnäs,0,26210,2002,2183
Borgholm,0,11162,2002,885
Borlänge,0,47049,2002,2081
Borås,1,98150,2002,1490
Botkyrka,3,75216,2002,127
Boxholm,1,5291,2002,560
Bromölla,0,12022,2002,1272
Bräcke,0,7406,2002,2305
Burlöv,0,15326,2002,1231
Båstad,0,14009,2002,1278
Dals-Ed,0,5044,2002,1438
Danderyd,2,29755,2002,162
Degerfors,1,10306,2002,1862
Dorotea,0,3247,2002,2425
Eda,0,8670,2002,1730
Ekerö,4,22936,2002,125
Eksjö,0,16761,2002,686
Emmaboda,0,9690,2002,862
Enköping,1,37647,2002,381
Eskilstuna,8,90089,2002,484
Eslöv,0,28985,2002,1285
Essunga,0,5757,2002,1445
Fagersta,0,12325,2002,1982
Falkenberg,0,38896,2002,1382
Falköping,0,30896,2002,1499
Falun,0,54841,2002,2080
Filipstad,1,11178,2002,1782
Finspång,3,21208,2002,562
Flen,1,16520,2002,482
Forshaga,1,11474,2002,1763
Färgelanda,2,6939,2002,1439
Gagnef,0,10008,2002,2026
Gislaved,1,29976,2002,662
Gnesta,0,9813,2002,461
Gnosjö,0,9997,2002,617
Gotland,0,57381,2002,980
Grums,0,9312,2002,1764
Grästorp,2,5848,2002,1444
Gullspång,0,5765,2002,1447
Gällivare,1,19420,2002,2523
Gävle,1,91276,2002,2180
Göteborg,15,474921,2002,1480
Götene,1,12983,2002,1471
Habo,0,9584,2002,643
Hagfors,0,13797,2002,1783
Hallsberg,0,15651,2002,1861
Hallstahammar,0,14986,2002,1961
Halmstad,1,86585,2002,1380
Hammarö,0,14237,2002,1761
Haninge,1,70902,2002,136
Haparanda,0,10334,2002,2583
Heby,0,13725,2002,331
Hedemora,0,15584,2002,2083
Helsingborg,1,119406,2002,1283
Herrljunga,0,9486,2002,1466
Hjo,0,8845,2002,1497
Hofors,0,10372,2002,2104
Huddinge,5,86457,2002,126
Hudiksvall,1,37048,2002,2184
Hultsfred,0,14893,2002,860
Hylte,0,10401,2002,1315
Håbo,0,17864,2002,305
Hällefors,0,7794,2002,1863
Härjedalen,0,11289,2002,2361
Härnösand,1,25193,2002,2280
Härryda,0,30844,2002,1401
Hässleholm,0,48536,2002,1293
Höganäs,0,22790,2002,1284
Högsby,0,6300,2002,821
Hörby,0,13949,2002,1266
Höör,0,14169,2002,1267
Jokkmokk,0,5782,2002,2510
Järfälla,1,61290,2002,123
Jönköping,4,118581,2002,680
Kalix,0,17805,2002,2514
Kalmar,0,60066,2002,880
Karlsborg,0,6967,2002,1446
Karlshamn,0,30739,2002,1082
Karlskoga,1,30600,2002,1883
Karlskrona,0,60676,2002,1080
Karlstad,1,80934,2002,1780
Katrineholm,0,32381,2002,483
Kil,0,11892,2002,1715
Kinda,0,10014,2002,513
Kiruna,3,23555,2002,2584
Klippan,0,15745,2002,1276
Kramfors,0,20711,2002,2282
Kristianstad,0,74951,2002,1290
Kristinehamn,1,23963,2002,1781
Krokom,0,14005,2002,2309
Kumla,0,19105,2002,1881
Kungsbacka,0,66573,2002,1384
Kungsör,0,8222,2002,1960
Kungälv,1,37912,2002,1482
Kävlinge,0,25191,2002,1261
Köping,0,24647,2002,1983
Laholm,0,22750,2002,1381
Landskrona,0,38475,2002,1282
Laxå,0,6471,2002,1860
Lekeberg,0,7027,2002,1814
Leksand,0,15301,2002,2029
Lerum,1,35558,2002,1441
Lessebo,0,8255,2002,761
Lidingö,0,41192,2002,186
Lidköping,0,36941,2002,1494
Lilla Edet,0,13010,2002,1462
Lindesberg,0,23492,2002,1885
Linköping,0,135066,2002,580
Ljungby,0,26943,2002,781
Ljusdal,0,19776,2002,2161
Ljusnarsberg,0,5482,2002,1864
Lomma,0,18167,2002,1262
Ludvika,0,25975,2002,2085
Luleå,2,72139,2002,2580
Lund,0,100402,2002,1281
Lycksele,0,12884,2002,2481
Lysekil,0,14801,2002,1484
Malmö,11,265481,2002,1280
Malung-Sälen,0,10593,2002,2023
Malå,0,3553,2002,2418
Mariestad,1,23743,2002,1493
Mark,0,33015,2002,1463
Markaryd,1,9615,2002,767
Mellerud,0,9807,2002,1461
Mjölby,1,25153,2002,586
Mora,1,20024,2002,2062
Motala,0,42078,2002,583
Mullsjö,0,7124,2002,642
Munkedal,0,10434,2002,1430
Munkfors,0,4086,2002,1762
Mölndal,0,57079,2002,1481
Mönsterås,0,13220,2002,861
Mörbylånga,0,13430,2002,840
Nacka,0,76624,2002,182
Nora,0,10515,2002,1884
Norberg,0,5876,2002,1962
Nordanstig,0,10021,2002,2132
Nordmaling,0,7573,2002,2401
Norrköping,3,123303,2002,581
Norrtälje,1,53702,2002,188
Norsjö,0,4541,2002,2417
Nybro,0,19871,2002,881
Nykvarn,0,8204,2002,140
Nyköping,0,49310,2002,480
Nynäshamn,1,24528,2002,192
Nässjö,0,29341,2002,682
Ockelbo,0,6101,2002,2101
Olofström,0,13637,2002,1060
Orsa,0,7015,2002,2034
Orust,0,15113,2002,1421
Osby,0,12637,2002,1273
Oskarshamn,0,26161,2002,882
Ovanåker,0,12193,2002,2121
Oxelösund,0,11183,2002,481
Pajala,0,7206,2002,2521
Partille,0,33088,2002,1402
Perstorp,0,6789,2002,1275
Piteå,0,40531,2002,2581
Ragunda,0,6079,2002,2303
Robertsfors,1,7168,2002,2409
Ronneby,0,28472,2002,1081
Rättvik,0,10898,2002,2031
Sala,0,21663,2002,1981
Salem,0,13875,2002,128
Sandviken,0,36765,2002,2181
Sigtuna,0,35771,2002,191
Simrishamn,1,19406,2002,1291
Sjöbo,0,17027,2002,1265
Skara,0,18311,2002,1495
Skellefteå,0,71813,2002,2482
Skinnskatteberg,0,4785,2002,1904
Skurup,0,13949,2002,1264
Skövde,0,49405,2002,1496
Smedjebacken,0,11157,2002,2061
Sollefteå,1,21384,2002,2283
Sollentuna,2,58515,2002,163
Solna,0,57585,2002,184
Sorsele,0,3046,2002,2422
Sotenäs,0,9467,2002,1427
Staffanstorp,0,20110,2002,1230
Stenungsund,0,21755,2002,1415
Stockholm,5,758148,2002,180
Storfors,0,4605,2002,1760
Storuman,0,6679,2002,2421
Strängnäs,1,30015,2002,486
Strömstad,0,11218,2002,1486
Strömsund,0,13371,2002,2313
Sundbyberg,0,33797,2002,183
Sundsvall,0,93252,2002,2281
Sunne,0,13573,2002,1766
Surahammar,0,10207,2002,1907
Svalöv,0,12705,2002,1214
Svedala,0,18151,2002,1263
Svenljunga,0,10529,2002,1465
Säffle,0,16289,2002,1785
Säter,0,11043,2002,2082
Sävsjö,0,10975,2002,684
Söderhamn,1,27250,2002,2182
Söderköping,0,14009,2002,582
Södertälje,0,79613,2002,181
Sölvesborg,0,16351,2002,1083
Tanum,0,12210,2002,1435
Tibro,0,10624,2002,1472
Tidaholm,0,12585,2002,1498
Tierp,0,20088,2002,360
Timrå,0,17784,2002,2262
Tingsryd,0,13175,2002,763
Tjörn,0,14826,2002,1419
Tomelilla,0,12447,2002,1270
Torsby,0,13404,2002,1737
Torsås,0,7293,2002,834
Tranemo,0,11988,2002,1452
Tranås,0,17718,2002,687
Trelleborg,0,38759,2002,1287
Trollhättan,3,52937,2002,1488
Trosa,0,10514,2002,488
Tyresö,0,39720,2002,138
Täby,0,60198,2002,160
Töreboda,0,9426,2002,1473
Uddevalla,0,49683,2002,1485
Ulricehamn,0,22299,2002,1491
Umeå,0,106525,2002,2480
Upplands-Bro,0,21162,2002,139
Upplands Väsby,1,37444,2002,114
Uppsala,2,179673,2002,380
Uppvidinge,0,9580,2002,760
Vadstena,0,7629,2002,584
Vaggeryd,1,12603,2002,665
Valdemarsvik,0,8230,2002,563
Vallentuna,3,25905,2002,115
Vansbro,0,7235,2002,2021
Vara,1,16009,2002,1470
Varberg,0,53346,2002,1383
Vaxholm,1,9631,2002,187
Vellinge,0,31087,2002,1233
Vetlanda,0,26428,2002,685
Vilhelmina,0,7655,2002,2462
Vimmerby,0,15628,2002,884
Vindeln,0,5960,2002,2404
Vingåker,0,9181,2002,428
Vårgårda,0,10668,2002,1442
Vänersborg,1,37025,2002,1487
Vännäs,0,8479,2002,2460
Värmdö,0,32664,2002,120
Värnamo,1,32252,2002,683
Västervik,0,36913,2002,883
Västerås,1,128902,2002,1980
Växjö,6,75036,2002,780
Ydre,0,4004,2002,512
Ystad,0,26383,2002,1286
Åmål,0,12829,2002,1492
Ånge,0,10948,2002,2260
Åre,0,9692,2002,2321
Årjäng,0,9743,2002,1765
Åsele,0,3499,2002,2463
Åstorp,0,13150,2002,1277
Åtvidaberg,0,11887,2002,561
Älmhult,0,15444,2002,765
Älvdalen,0,7617,2002,2039
Älvkarleby,0,8970,2002,319
Älvsbyn,0,8835,2002,2560
Ängelholm,1,37706,2002,1292
Öckerö,1,11981,2002,1407
Ödeshög,0,5566,2002,509
Örebro,3,125520,2002,1880
Örkelljunga,0,9419,2002,1257
Örnsköldsvik,0,55047,2002,2284
Östersund,1,58156,2002,2380
Österåker,1,35633,2002,117
Östhammar,1,21827,2002,382
Östra Göinge,0,14087,2002,1256
Överkalix,0,4058,2002,2513
Övertorneå,0,5391,2002,2518
Ale,1,25993,2003,1440
Alingsås,0,35530,2003,1489
Alvesta,0,18879,2003,764
Aneby,0,6666,2003,604
Arboga,2,13514,2003,1984
Arjeplog,0,3259,2003,2506
Arvidsjaur,0,6948,2003,2505
Arvika,0,26302,2003,1784
Askersund,0,11539,2003,1882
Avesta,0,22249,2003,2084
Bengtsfors,0,10436,2003,1460
Berg,0,7865,2003,2326
Bjurholm,0,2575,2003,2403
Bjuv,1,13810,2003,1260
Boden,1,28214,2003,2582
Bollebygd,0,7891,2003,1443
Bollnäs,0,26213,2003,2183
Borgholm,0,11147,2003,885
Borlänge,1,46919,2003,2081
Borås,0,98505,2003,1490
Botkyrka,4,75432,2003,127
Boxholm,0,5308,2003,560
Bromölla,0,11994,2003,1272
Bräcke,0,7359,2003,2305
Burlöv,0,15257,2003,1231
Båstad,0,14088,2003,1278
Dals-Ed,0,5014,2003,1438
Danderyd,1,29884,2003,162
Degerfors,0,10181,2003,1862
Dorotea,0,3226,2003,2425
Eda,0,8662,2003,1730
Ekerö,0,23311,2003,125
Eksjö,0,16656,2003,686
Emmaboda,0,9659,2003,862
Enköping,0,38005,2003,381
Eskilstuna,5,90694,2003,484
Eslöv,0,29400,2003,1285
Essunga,0,5736,2003,1445
Fagersta,0,12334,2003,1982
Falkenberg,0,39145,2003,1382
Falköping,1,30981,2003,1499
Falun,0,55010,2003,2080
Filipstad,0,11121,2003,1782
Finspång,0,21052,2003,562
Flen,1,16629,2003,482
Forshaga,0,11452,2003,1763
Färgelanda,0,6841,2003,1439
Gagnef,0,10059,2003,2026
Gislaved,0,29956,2003,662
Gnesta,0,10002,2003,461
Gnosjö,0,9926,2003,617
Gotland,0,57535,2003,980
Grums,0,9379,2003,1764
Grästorp,0,5835,2003,1444
Gullspång,0,5726,2003,1447
Gällivare,2,19251,2003,2523
Gävle,0,91701,2003,2180
Göteborg,16,478055,2003,1480
Götene,1,12992,2003,1471
Habo,0,9568,2003,643
Hagfors,2,13648,2003,1783
Hallsberg,0,15589,2003,1861
Hallstahammar,1,15039,2003,1961
Halmstad,3,87372,2003,1380
Hammarö,0,14307,2003,1761
Haninge,2,71377,2003,136
Haparanda,0,10346,2003,2583
Heby,1,13711,2003,331
Hedemora,0,15555,2003,2083
Helsingborg,1,120154,2003,1283
Herrljunga,1,9440,2003,1466
Hjo,0,8844,2003,1497
Hofors,0,10338,2003,2104
Huddinge,3,87121,2003,126
Hudiksvall,0,37057,2003,2184
Hultsfred,0,14739,2003,860
Hylte,0,10377,2003,1315
Håbo,0,18115,2003,305
Hällefors,0,7712,2003,1863
Härjedalen,0,11065,2003,2361
Härnösand,0,25272,2003,2280
Härryda,0,31208,2003,1401
Hässleholm,0,48787,2003,1293
Höganäs,0,23003,2003,1284
Högsby,0,6348,2003,821
Hörby,0,14051,2003,1266
Höör,0,14278,2003,1267
Jokkmokk,0,5633,2003,2510
Järfälla,7,61473,2003,123
Jönköping,3,119340,2003,680
Kalix,0,17702,2003,2514
Kalmar,1,60415,2003,880
Karlsborg,0,6923,2003,1446
Karlshamn,0,30779,2003,1082
Karlskoga,0,30532,2003,1883
Karlskrona,1,60857,2003,1080
Karlstad,1,81343,2003,1780
Katrineholm,0,32418,2003,483
Kil,1,11891,2003,1715
Kinda,0,9981,2003,513
Kiruna,0,23407,2003,2584
Klippan,0,15963,2003,1276
Knivsta,1,12821,2003,330
Kramfors,0,20508,2003,2282
Kristianstad,0,75294,2003,1290
Kristinehamn,1,23946,2003,1781
Krokom,0,14088,2003,2309
Kumla,0,19279,2003,1881
Kungsbacka,0,67653,2003,1384
Kungsör,0,8235,2003,1960
Kungälv,1,38154,2003,1482
Kävlinge,1,25539,2003,1261
Köping,0,24585,2003,1983
Laholm,0,22883,2003,1381
Landskrona,1,38658,2003,1282
Laxå,0,6366,2003,1860
Lekeberg,0,7040,2003,1814
Leksand,0,15419,2003,2029
Lerum,0,35890,2003,1441
Lessebo,0,8227,2003,761
Lidingö,1,41194,2003,186
Lidköping,0,37125,2003,1494
Lilla Edet,1,12983,2003,1462
Lindesberg,1,23442,2003,1885
Linköping,3,136231,2003,580
Ljungby,0,26897,2003,781
Ljusdal,1,19771,2003,2161
Ljusnarsberg,0,5415,2003,1864
Lomma,0,18311,2003,1262
Ludvika,0,26011,2003,2085
Luleå,3,72237,2003,2580
Lund,0,100995,2003,1281
Lycksele,0,12820,2003,2481
Lysekil,0,14798,2003,1484
Malmö,17,267171,2003,1280
Malung-Sälen,0,10538,2003,2023
Malå,1,3498,2003,2418
Mariestad,0,23847,2003,1493
Mark,1,33218,2003,1463
Markaryd,0,9594,2003,767
Mellerud,0,9792,2003,1461
Mjölby,0,25191,2003,586
Mora,1,20093,2003,2062
Motala,0,42015,2003,583
Mullsjö,1,7129,2003,642
Munkedal,0,10405,2003,1430
Munkfors,0,4075,2003,1762
Mölndal,0,57523,2003,1481
Mönsterås,0,13256,2003,861
Mörbylånga,0,13481,2003,840
Nacka,1,77470,2003,182
Nora,1,10552,2003,1884
Norberg,0,5930,2003,1962
Nordanstig,0,9971,2003,2132
Nordmaling,0,7616,2003,2401
Norrköping,0,123971,2003,581
Norrtälje,1,54021,2003,188
Norsjö,0,4478,2003,2417
Nybro,0,19968,2003,881
Nykvarn,0,8269,2003,140
Nyköping,1,49382,2003,480
Nynäshamn,1,24587,2003,192
Nässjö,0,29337,2003,682
Ockelbo,0,5991,2003,2101
Olofström,0,13541,2003,1060
Orsa,0,7053,2003,2034
Orust,0,15160,2003,1421
Osby,0,12707,2003,1273
Oskarshamn,1,26253,2003,882
Ovanåker,0,12051,2003,2121
Oxelösund,0,11299,2003,481
Pajala,0,7053,2003,2521
Partille,1,33192,2003,1402
Perstorp,0,6805,2003,1275
Piteå,0,40662,2003,2581
Ragunda,0,5948,2003,2303
Robertsfors,0,7082,2003,2409
Ronneby,0,28287,2003,1081
Rättvik,0,10827,2003,2031
Sala,1,21742,2003,1981
Salem,0,14057,2003,128
Sandviken,0,36817,2003,2181
Sigtuna,3,36028,2003,191
Simrishamn,0,19499,2003,1291
Sjöbo,1,17199,2003,1265
Skara,0,18360,2003,1495
Skellefteå,0,71772,2003,2482
Skinnskatteberg,0,4857,2003,1904
Skurup,0,14099,2003,1264
Skövde,1,49741,2003,1496
Smedjebacken,0,11012,2003,2061
Sollefteå,0,21317,2003,2283
Sollentuna,3,58884,2003,163
Solna,0,57994,2003,184
Sorsele,0,2981,2003,2422
Sotenäs,0,9359,2003,1427
Staffanstorp,2,20238,2003,1230
Stenungsund,0,22291,2003,1415
Stockholm,8,761721,2003,180
Storfors,0,4559,2003,1760
Storuman,0,6595,2003,2421
Strängnäs,0,30212,2003,486
Strömstad,0,11233,2003,1486
Strömsund,0,13267,2003,2313
Sundbyberg,0,33738,2003,183
Sundsvall,1,93307,2003,2281
Sunne,0,13586,2003,1766
Surahammar,1,10200,2003,1907
Svalöv,0,12833,2003,1214
Svedala,0,18269,2003,1263
Svenljunga,0,10445,2003,1465
Säffle,0,16244,2003,1785
Säter,0,11041,2003,2082
Sävsjö,1,10968,2003,684
Söderhamn,0,26956,2003,2182
Söderköping,0,14082,2003,582
Södertälje,2,80049,2003,181
Sölvesborg,0,16425,2003,1083
Tanum,0,12288,2003,1435
Tibro,0,10640,2003,1472
Tidaholm,0,12575,2003,1498
Tierp,0,20116,2003,360
Timrå,0,17854,2003,2262
Tingsryd,0,13013,2003,763
Tjörn,0,14891,2003,1419
Tomelilla,0,12515,2003,1270
Torsby,0,13311,2003,1737
Torsås,0,7231,2003,834
Tranemo,0,11887,2003,1452
Tranås,0,17709,2003,687
Trelleborg,4,39110,2003,1287
Trollhättan,0,52920,2003,1488
Trosa,0,10565,2003,488
Tyresö,0,40097,2003,138
Täby,0,60168,2003,160
Töreboda,0,9412,2003,1473
Uddevalla,1,49871,2003,1485
Ulricehamn,0,22319,2003,1491
Umeå,8,107917,2003,2480
Upplands-Bro,0,21252,2003,139
Upplands Väsby,0,37397,2003,114
Uppsala,1,180669,2003,380
Uppvidinge,0,9553,2003,760
Vadstena,0,7582,2003,584
Vaggeryd,0,12656,2003,665
Valdemarsvik,1,8195,2003,563
Vallentuna,3,26306,2003,115
Vansbro,0,7164,2003,2021
Vara,0,15995,2003,1470
Varberg,0,53892,2003,1383
Vaxholm,0,9725,2003,187
Vellinge,0,31300,2003,1233
Vetlanda,0,26398,2003,685
Vilhelmina,0,7588,2003,2462
Vimmerby,0,15621,2003,884
Vindeln,0,5885,2003,2404
Vingåker,0,9179,2003,428
Vårgårda,0,10692,2003,1442
Vänersborg,1,37101,2003,1487
Vännäs,0,8513,2003,2460
Värmdö,1,33134,2003,120
Värnamo,0,32350,2003,683
Västervik,0,36768,2003,883
Västerås,0,129987,2003,1980
Växjö,3,75848,2003,780
Ydre,0,3943,2003,512
Ystad,1,26655,2003,1286
Åmål,0,12854,2003,1492
Ånge,0,10897,2003,2260
Åre,0,9692,2003,2321
Årjäng,0,9737,2003,1765
Åsele,0,3410,2003,2463
Åstorp,0,13326,2003,1277
Åtvidaberg,0,11818,2003,561
Älmhult,1,15437,2003,765
Älvdalen,0,7570,2003,2039
Älvkarleby,0,9028,2003,319
Älvsbyn,0,8838,2003,2560
Ängelholm,1,37859,2003,1292
Öckerö,1,12081,2003,1407
Ödeshög,0,5528,2003,509
Örebro,2,126288,2003,1880
Örkelljunga,0,9483,2003,1257
Örnsköldsvik,0,54950,2003,2284
Östersund,1,58361,2003,2380
Österåker,0,36183,2003,117
Östhammar,0,21741,2003,382
Östra Göinge,0,14047,2003,1256
Överkalix,0,3993,2003,2513
Övertorneå,0,5331,2003,2518
Ale,4,26288,2004,1440
Alingsås,0,35761,2004,1489
Alvesta,1,18865,2004,764
Aneby,0,6624,2004,604
Arboga,0,13406,2004,1984
Arjeplog,0,3224,2004,2506
Arvidsjaur,0,6894,2004,2505
Arvika,0,26275,2004,1784
Askersund,0,11477,2004,1882
Avesta,1,22102,2004,2084
Bengtsfors,0,10335,2004,1460
Berg,0,7779,2004,2326
Bjurholm,0,2588,2004,2403
Bjuv,0,13892,2004,1260
Boden,0,28277,2004,2582
Bollebygd,0,7973,2004,1443
Bollnäs,0,26249,2004,2183
Borgholm,0,11133,2004,885
Borlänge,2,46988,2004,2081
Borås,0,98886,2004,1490
Botkyrka,1,75830,2004,127
Boxholm,0,5287,2004,560
Bromölla,0,12080,2004,1272
Bräcke,0,7282,2004,2305
Burlöv,0,15295,2004,1231
Båstad,0,14022,2004,1278
Dals-Ed,0,4941,2004,1438
Danderyd,0,30100,2004,162
Degerfors,0,10106,2004,1862
Dorotea,0,3156,2004,2425
Eda,0,8646,2004,1730
Ekerö,0,23594,2004,125
Eksjö,0,16571,2004,686
Emmaboda,0,9643,2004,862
Enköping,0,38211,2004,381
Eskilstuna,4,91168,2004,484
Eslöv,0,29740,2004,1285
Essunga,0,5750,2004,1445
Fagersta,0,12231,2004,1982
Falkenberg,0,39438,2004,1382
Falköping,0,31148,2004,1499
Falun,0,54994,2004,2080
Filipstad,1,11081,2004,1782
Finspång,0,20993,2004,562
Flen,0,16534,2004,482
Forshaga,0,11460,2004,1763
Färgelanda,0,6886,2004,1439
Gagnef,0,10091,2004,2026
Gislaved,0,29750,2004,662
Gnesta,1,9935,2004,461
Gnosjö,0,9810,2004,617
Gotland,0,57661,2004,980
Grums,0,9423,2004,1764
Grästorp,0,5794,2004,1444
Gullspång,0,5653,2004,1447
Gällivare,3,19204,2004,2523
Gävle,0,92081,2004,2180
Göteborg,17,481410,2004,1480
Götene,0,12950,2004,1471
Habo,0,9758,2004,643
Hagfors,0,13496,2004,1783
Hallsberg,0,15401,2004,1861
Hallstahammar,0,15038,2004,1961
Halmstad,1,87929,2004,1380
Hammarö,0,14390,2004,1761
Haninge,1,71355,2004,136
Haparanda,1,10208,2004,2583
Heby,0,13771,2004,331
Hedemora,1,15506,2004,2083
Helsingborg,8,121179,2004,1283
Herrljunga,0,9417,2004,1466
Hjo,0,8822,2004,1497
Hofors,0,10237,2004,2104
Huddinge,0,87681,2004,126
Hudiksvall,0,36970,2004,2184
Hultsfred,0,14591,2004,860
Hylte,0,10432,2004,1315
Håbo,0,18378,2004,305
Hällefors,0,7688,2004,1863
Härjedalen,0,10951,2004,2361
Härnösand,0,25273,2004,2280
Härryda,0,31676,2004,1401
Hässleholm,4,48945,2004,1293
Höganäs,2,23135,2004,1284
Högsby,0,6244,2004,821
Hörby,0,14216,2004,1266
Höör,0,14520,2004,1267
Jokkmokk,0,5599,2004,2510
Järfälla,4,61564,2004,123
Jönköping,2,119927,2004,680
Kalix,1,17653,2004,2514
Kalmar,1,60649,2004,880
Karlsborg,0,6905,2004,1446
Karlshamn,0,30847,2004,1082
Karlskoga,0,30343,2004,1883
Karlskrona,1,61137,2004,1080
Karlstad,0,81768,2004,1780
Katrineholm,0,32258,2004,483
Kil,0,11844,2004,1715
Kinda,0,9953,2004,513
Kiruna,0,23254,2004,2584
Klippan,1,15998,2004,1276
Knivsta,0,13059,2004,330
Kramfors,0,20383,2004,2282
Kristianstad,2,75592,2004,1290
Kristinehamn,0,23990,2004,1781
Krokom,0,14126,2004,2309
Kumla,0,19383,2004,1881
Kungsbacka,1,68696,2004,1384
Kungsör,0,8287,2004,1960
Kungälv,0,38257,2004,1482
Kävlinge,0,26024,2004,1261
Köping,2,24677,2004,1983
